OwnerUserId;UserId;NbrOfLinks
68367;18247;1
71907;58789;1
84830;78284;1
40879;69544;1
86180;78284;1
86213;83275;2
86289;45907;1
86341;54737;1
86365;1406;1
86443;50355;1
16410;60092;1
86559;50862;1
86593;53477;1
85855;54754;1
86521;41740;1
86619;86564;1
70342;37532;1
63382;18401;1
49119;63096;1
52776;86831;1
86834;28175;1
86818;62846;1
86832;20635;2
64876;33386;1
86887;44680;2
86887;17310;1
37609;14360;1
86993;45610;1
86998;51129;1
86619;58789;2
49119;23644;1
86962;15850;1
86912;73127;1
84016;53453;1
87085;33183;1
86993;74855;1
79207;36964;1
87179;45821;1
86339;97;1
87315;43472;1
66029;52726;1
66029;70118;1
64876;77061;1
64876;17310;1
87501;65809;1
86339;85747;1
8820;71952;1
87590;66117;1
85521;54754;1
85521;85855;1
57610;58104;1
58413;23198;1
42519;24818;1
88088;58113;1
88088;21433;1
62752;21560;1
88140;86011;1
45907;27607;1
87929;43077;1
88251;21145;1
88251;87865;1
54236;52648;1
79085;88079;1
46645;8820;1
82752;15064;2
59315;18247;1
59315;66759;1
59315;78343;1
86437;21560;1
38834;45892;1
38834;51125;1
47916;10240;1
47916;37113;1
87189;27906;1
87876;15664;1
88656;8013;1
65765;17081;1
88709;14200;1
83100;83275;1
88336;79057;1
87355;16236;2
9191;10654;1
88088;86339;1
88429;14150;1
88888;23334;1
78966;42248;1
53057;39830;1
57738;47149;1
89255;50641;1
63096;59919;2
89176;18247;1
89176;85882;1
89176;73912;1
89471;8841;1
77028;58488;1
88076;70118;1
59881;76579;2
89780;74781;1
47466;53763;1
47466;80506;2
67437;16236;1
89690;23334;1
31434;20374;1
88656;14029;1
88656;802;1
42519;65767;1
89889;6403;1
60621;40209;2
89852;85747;1
88033;303;1
76281;3540;1
90106;86339;1
28916;76281;1
87779;42205;2
42205;69471;1
42205;33386;1
85597;97;1
54390;13518;1
87084;31671;1
89997;88251;1
78637;65027;1
51969;57731;1
80453;21560;1
90009;29579;1
80461;28175;1
80461;793;1
90779;87240;1
82762;12496;1
86912;85505;1
